icao,name,municipality,iso_country,type,latitude_deg,longitude_deg
FD15,Tailwinds Airport,Jupiter,US,small_airport,26.97949981689453,-80.21869659423828
FD16,Flying C Farm Airport,Branford,US,small_airport,29.96579933166504,-82.872802734375
FD17,Motorsports Complex VIP Heliport,Homestead,US,heliport,25.448601,-80.410004
FD18,Tallahassee Memorial Hospital Heliport,Tallahassee,US,heliport,30.457577,-84.260405
FD19,Lawnwood Medical Center Heliport,Fort Pierce,US,heliport,27.432888,-80.346037
FD20,Sundance Farms Airport,La Belle,US,small_airport,26.80030059814453,-81.48509979248047
FD22,Melrose Landing Airport,Hawthorne,US,small_airport,29.666997,-81.952734
FD24,Southern Fruit Groves Airport,Port St. Lucie,US,small_airport,27.221200942993164,-80.52059936523438
FD25,Fly In Ranches Airport,Vero Beach,US,small_airport,27.5625,-80.49980163574219
FD26,Kirkland Airport,Graceville,US,small_airport,30.981800079345703,-85.49240112304688
FD27,Cuyler Field,Glen St Mary,US,small_airport,30.362699508666992,-82.2261962890625
FD28,Orlando Regional Medical Center Heliport,Orlando,US,heliport,28.525176,-81.377165
FD29,Flying Dutchman Ranch Airport,Ocala,US,small_airport,29.130800247192383,-82.11930084228516
FD30,Southeastern Airport,Fort Pierce,US,small_airport,27.411399841308594,-80.52619934082031
FD31,Bradley Airport,Fort White,US,small_airport,29.92799949645996,-82.70120239257812
FD33,Green Swamp Aerodrome,Lakeland,US,small_airport,28.211700439453125,-81.99870300292969
FD34,Motorsports Complex EMS Heliport,Homestead,US,heliport,25.453985,-80.407115
FD35,Redhead Airport,Ebro,US,small_airport,30.49049949645996,-85.83940124511719
FD36,Advent Health East Orlando Heliport,Orlando,US,heliport,28.541224,-81.279941
FD37,Gentry Airport,St Cloud,US,small_airport,28.13719940185547,-81.26339721679688
FD38,Wellington Aero Club Airport,West Palm Beach,US,small_airport,26.6465,-80.294197
FD39,Flying Cow Air Ranch Airport,Okeechobee,US,small_airport,27.1556,-80.691704
FD41,Grand Cypress Resort Heliport,Orlando,US,heliport,28.38149,-81.515508
FD42,Cooksey Brothers Airport,Live Oak,US,small_airport,30.211599349975586,-83.05460357666016
FD44,Eagles Nest Aerodrome,Crescent City,US,small_airport,29.4269444,-81.6041667
FD45,HCA Florida Fort Walton-Destin Hospital Heliport,Fort Walton Beach,US,heliport,30.455208,-86.632621
